"hash","ubid","grid","lat","lon","area","height","height_source","height_predict","fp","fp_source","state","county"
"ODU0NFZRUTUrOi0xODc5NDQyNjgx","8544VQQ5+69-0-1-2-3","8544VQQ5+","32.888002","-117.241599","566.8372964950341","5.0","osm","7.23","POLYGON((-117.2419334 32.8880313,-117.241512 32.8880057,-117.2415379 32.8879128,-117.2415111 32.8879071,-117.2415192 32.8878733,-117.2414761 32.8878656,-117.2414669 32.8878994,-117.2414539 32.8878967,-117.2414093 32.8880751,-117.2415387 32.8880978,-117.2415382 32.8881097,-117.2416118 32.8881144,-117.2416134 32.888095,-117.241925 32.8881166,-117.2419334 32.8880313))","osm","California","06073"
"ODU0NFZRUTUrOjE3NDI5OTYxMzU","8544VQQ5+C3-2-2-1-1","8544VQQ5+","32.888527","-117.242285","897.9609269780534","9.31","model","9.31","POLYGON((-117.2424733 32.888425,-117.2423824 32.8883872,-117.2423769 32.8883965,-117.2423289 32.8883765,-117.2423145 32.8884009,-117.242289 32.8883903,-117.2422388 32.8884755,-117.2422144 32.8884654,-117.2420638 32.8887214,-117.2421634 32.8887627,-117.2421453 32.8887934,-117.2422346 32.8888305,-117.2424733 32.888425))","osm","California","06073"
"ODU0NFZRUTUrOi0xMzMwNDgyOTkx","8544VQQ5+25-1-1-1-1","8544VQQ5+","32.88759","-117.242094","465.0902418690408","6.56","model","6.56","POLYGON((-117.2422119 32.88754,-117.2419299 32.8874976,-117.2419346 32.8876882,-117.2421826 32.8876849,-117.2422119 32.88754))","osm","California","06073"
"ODU0NFZRUTUrOi04Nzg1NzgxNjg","8544VQQ5+99-0-3-0-2","8544VQQ5+","32.888445","-117.241589","453.59795884584435","6.56","model","6.56","POLYGON((-117.2417622 32.8884611,-117.2417615 32.8884019,-117.2411683 32.8884067,-117.2411692 32.8884888,-117.2416281 32.8884851,-117.2416556 32.888418,-117.2416954 32.8884177,-117.2416959 32.8884617,-117.2417622 32.8884611))","osm","California","06073"
"ODU0NFZRUTUrOi0xNDE3NDg0NTk","8544VQQ5+XR-2-1-3-1","8544VQQ5+","32.889941","-117.240485","1673.81535673442","12.0","osm","9.31","POLYGON((-117.2405806 32.8902261,-117.2405659 32.8895104,-117.2403412 32.8895137,-117.2403559 32.8902293,-117.2405806 32.8902261))","osm","California","06073"
"ODU0NFZRUTUrOjIzNDE4NTEwMA","8544VQQ5+48-1-1-0-2","8544VQQ5+","32.887861","-117.241738","221.34254424506702","6.0","osm","5.73","POLYGON((-117.2419147 32.8878498,-117.2419064 32.8878503,-117.2419033 32.8878161,-117.2416094 32.8878346,-117.2416111 32.8878532,-117.2415711 32.8878557,-117.241558 32.887892,-117.2416123 32.8878892,-117.241613 32.8878993,-117.2419003 32.8878842,-117.2419147 32.8878498))","osm","California","06073"
"ODU0NFZRUTUrOi02MDM2MTA0Nw","8544VQQ5+F9-0-3-1-2","8544VQQ5+","32.888664","-117.241518","1114.5144619423065","9.31","model","9.31","POLYGON((-117.2417576 32.8887345,-117.2417561 32.8885553,-117.2411585 32.8885587,-117.2411599 32.8887379,-117.2417576 32.8887345))","osm","California","06073"
"ODU0NFZRUTUrOi01NjkzMzQyOA","8544VQQ5+55-1-1-1-1","8544VQQ5+","32.887894","-117.242055","467.2298156603971","6.56","model","6.56","POLYGON((-117.2421614 32.8877973,-117.2419773 32.8877992,-117.2419538 32.8878557,-117.2419692 32.8880539,-117.2421085 32.8880625,-117.2421614 32.8877973))","osm","California","06073"
"ODU0NFZRUTUrOjE0Mjc2NjkxNzU","8544VQQ5+28-1-1-1-2","8544VQQ5+","32.887575","-117.241721","337.6498583549246","6.05","model","6.05","POLYGON((-117.2419033 32.8876874,-117.2419031 32.8876188,-117.2417111 32.8876192,-117.2416743 32.8876114,-117.2417063 32.8875044,-117.2416827 32.8874995,-117.2416936 32.8874631,-117.241651 32.8874541,-117.2416396 32.8874921,-117.2416282 32.8874897,-117.2415768 32.8876619,-117.2416994 32.8876878,-117.2419033 32.8876874))","osm","California","06073"
"ODU0NFZRUUYrOi0xNzc2Mzg3MzM4","8544VQQF+7J-1-0-1-1","8544VQQF+","32.888181","-117.225985","149.76287595618393","5.63","model","5.63","POLYGON((-117.225921 32.888142,-117.225991 32.888274,-117.226082 32.88824,-117.226012 32.888108,-117.225921 32.888142))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZRUUYrOjgzMjkzMjA","8544VQQF+5P-3-6-5-5","8544VQQF+","32.887879","-117.225649","6927.174039324609","9.31","model","9.31","POLYGON((-117.2262536 32.8878765,-117.226185 32.8877833,-117.2261678 32.8877601,-117.2259837 32.8875101,-117.2258599 32.8873419,-117.2258376 32.8873541,-117.2255439 32.8875135,-117.2255138 32.8875299,-117.22519 32.8877058,-117.2250304 32.8877924,-117.2249607 32.8878303,-117.2251382 32.8880665,-117.2251948 32.8881417,-117.2253437 32.8883397,-117.2253542 32.8883536,-117.225381 32.8883394,-117.2255219 32.8882646,-117.2258458 32.8880929,-117.225907 32.8880604,-117.2261696 32.887921,-117.2262536 32.8878765))","osm","California","06073"
